Clone ID,N,Brix_mean,TRS_mean,Fiber_mean,Moisture_mean,Pol. Reading_mean,Purity_mean,Sucrose %_mean,Bu Wt_mean,Count_mean,Height(inches)_mean,Diam_mean
00-930,12,19.79,242,11.8,70.68,73.36,84.31,17.00,11.95,38,88.3,20.69
00-950,12,20.84,257,11.9,69.60,78.17,84.91,18.02,12.89,42,85.7,20.79
01-040,12,17.10,186,14.1,71.43,57.98,78.01,13.61,13.03,43,94.0,23.34
01-147,3,18.57,217,10.8,72.46,66.38,81.94,15.48,14.23,51,110.0,20.81
01-249,4,19.45,239,12.7,70.24,72.17,84.48,16.75,11.50,43,98.0,18.47
01-283,12,19.85,239,10.6,71.46,72.93,83.58,16.90,11.76,38,89.7,21.43
01-299,73,19.57,242,12.7,70.12,72.93,84.88,16.92,12.73,51,102.7,19.31
01-315,12,18.88,224,11.8,71.57,68.32,82.58,15.90,8.79,33,87.3,19.00
01-517,9,19.81,246,10.8,71.42,74.30,85.26,17.21,15.43,31,98.0,25.48
01-523,12,19.68,235,13.0,70.06,71.83,83.08,16.66,10.71,27,93.3,19.44
02-610,12,19.54,242,13.1,69.88,72.90,85.00,16.92,13.79,48,105.7,20.63
02-618,12,19.22,235,12.0,71.04,70.99,84.26,16.50,9.08,45,83.0,17.59
02-623,12,19.85,251,12.2,70.27,75.32,86.32,17.45,12.27,40,96.0,20.53
04-838,12,19.67,242,13.3,69.63,73.16,84.63,16.97,11.50,53,101.7,18.85
04-847,12,19.55,231,11.1,71.46,70.69,82.32,16.40,16.09,43,102.0,21.56
05-448,12,19.49,236,11.8,70.90,71.59,83.66,16.62,12.48,28,91.7,23.30
05-457,12,19.95,246,13.0,69.61,74.41,84.73,17.23,10.91,50,96.3,19.24
05-466,9,19.78,241,14.4,68.89,73.20,84.13,16.96,10.54,45,93.5,21.01
05-499,3,19.76,233,13.9,69.26,71.47,82.38,16.57,11.95,33,96.0,19.33
05-961,12,19.45,235,12.2,70.67,71.46,83.50,16.58,13.14,22,89.7,21.21
06-001,12,20.32,254,11.6,70.37,76.74,85.62,17.74,15.90,36,93.7,23.14
06-038,12,19.83,240,11.5,70.92,73.12,83.83,16.94,14.78,25,99.3,24.24
06-040,12,19.85,243,12.9,69.81,73.70,84.30,17.07,13.63,36,89.3,21.88
06-530,12,19.00,213,11.6,71.55,66.42,79.58,15.44,13.48,40,98.7,21.77
06-563,12,19.79,243,12.7,70.06,73.56,84.60,17.05,14.62,33,95.0,20.52
07-057,12,19.19,233,13.2,70.16,70.57,83.83,16.40,10.72,32,104.3,18.56
07-613,12,19.76,245,11.1,71.12,73.87,85.11,17.12,13.19,35,93.0,22.09
07-617,12,20.17,249,11.2,70.80,75.40,84.84,17.44,10.73,30,86.0,20.95
08-088,19,19.46,234,12.2,70.65,71.21,83.27,16.53,11.71,38,90.8,19.30
08-090,19,20.05,248,12.4,70.03,75.02,84.88,17.36,12.64,46,98.6,22.05
08-092,12,20.26,249,12.5,69.68,75.48,84.41,17.45,13.07,46,100.0,22.11
08-709,12,19.57,233,12.8,70.35,71.25,82.56,16.52,10.77,41,85.3,19.04
08-711,12,18.65,221,10.3,72.88,67.30,82.36,15.68,13.22,28,83.0,22.75
08-717,12,18.67,228,12.8,71.00,68.84,84.32,16.04,10.91,59,90.0,19.95
08-723,8,18.79,216,11.9,71.47,66.54,80.74,15.49,11.13,33,90.5,19.34
08-726,12,20.84,264,11.1,70.34,79.40,86.32,18.31,13.88,39,91.7,20.98
09-099,12,18.83,227,12.9,70.73,68.81,83.47,16.02,11.91,53,107.3,21.80
09-105,12,18.87,223,13.0,70.46,68.14,82.40,15.86,12.54,55,96.0,19.63
09-107,12,19.03,228,13.5,70.15,69.29,82.95,16.11,13.50,44,102.0,21.51
09-108,12,20.15,243,12.6,69.90,74.08,83.50,17.14,9.28,41,95.3,19.18
09-112,19,19.83,240,12.9,69.77,72.99,83.67,16.91,16.00,48,105.2,22.33
09-114,12,19.91,237,12.5,70.11,72.53,82.88,16.80,9.47,36,89.3,19.31
09-117,9,20.80,271,10.5,70.67,80.92,88.18,18.67,8.69,39,93.5,19.80
09-118,11,18.72,206,11.7,71.72,64.48,78.67,15.02,13.23,32,103.0,22.02
09-121,12,19.25,215,13.6,69.89,67.12,79.47,15.60,10.53,56,98.3,17.05
